name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
견과,"두류, 견과 및 종실류",,550.0,5.0,17.5,37.5,17.5,37.5,1,음식,수집,
견과류,농산가공식품류,10.0,595.0,10.0,9.5,30.0,18.0,46.0,2245,가공식품,수집,표시기준 1회 섭취참고량
견과류 가공품,농산가공식품류,10.0,588.0,12.0,5.83,30.0,18.33,44.17,833,가공식품,수집,표시기준 1회 섭취참고량
결명자차,차류,,0.0,0.0,0.0,0.04,0.0,0.0,2,원재료성식품,분석,
경단,빵 및 과자류,100.0,319.0,180.0,26.64,74.22,4.44,0.54,4,음식,분석,표시기준 1회 섭취참고량
경수채,채소류,,26.0,40.0,2.1,5.57,1.68,0.24,1,원재료성식품,분석,
계란 덮밥,밥류,300.0,152.0,106.0,0.61,21.33,4.7,4.85,3,음식,산출,외식 레시피
계란덮밥,밥류,,143.0,223.0,3.07,25.14,4.31,2.82,1,음식,분석,
계란빵,빵 및 과자류,150.0,238.0,390.0,6.67,,10.48,,6,음식,수집,산업체 급식
계피,조미료류,,349.0,18.0,1.93,80.93,3.63,1.15,1,원재료성식품,분석,
계피차,차류,,357.0,5.0,,89.0,0.0,1.4,1,원재료성식품,수집,
고구마,찜류,200.0,132.0,79.0,18.43,30.17,2.45,0.12,2,음식,분석,가정식 분석
고구마깻잎튀김,튀김류,149.7,169.0,354.0,4.94,29.95,2.6,4.0,1,음식,산출,외식 레시피
고구마맛탕,튀김류,152.0,246.0,38.0,19.35,47.3,1.65,5.5,5,음식,분석,산업체 급식
고구마밥,밥류,272.0,139.0,2.0,1.6,30.44,2.3,0.35,3,음식,산출,산업체 급식
고구마전,전·적 및 부침류,140.0,227.0,87.0,14.26,35.99,2.92,7.98,1,음식,분석,가정식 분석
고구마조림,조림류,97.0,167.0,848.0,10.99,38.53,2.5,0.61,3,음식,산출,외식 레시피
